,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
72,-0.7,-3.8,-0.2,-0.008,-0.108,1.041,0.066,-0.022,-0.703
73,6.3,-14.5,0.0,-0.022,-0.14,1.048,0.063,-0.018,-0.705
74,-0.5,-3.5,3.0,-0.017,-0.004,1.038,0.063,-0.022,-0.711
75,-4.9,1.0,1.1,-0.015,-0.389,1.037,0.072,-0.019,-0.73
76,-1.1,-3.9,0.9,-0.029,0.153,1.048,0.067,-0.004,-0.73
77,-1.1,-4.0,1.0,-0.03,-0.087,1.033,0.069,-0.006,-0.732
78,-1.0,-3.5,0.7,-0.036,0.101,1.046,0.076,-0.009,-0.747
79,-1.9,-3.4,0.4,-0.017,0.16,1.04,0.079,-0.01,-0.757
80,-1.2,-3.5,1.1,-0.025,-0.026,1.039,0.085,-0.003,-0.748
81,-1.2,-3.5,4.9,-0.022,-0.018,1.037,0.079,0.0,-0.747
82,-1.1,-3.6,10.0,-0.038,0.046,1.024,0.076,-0.012,-0.751
83,-1.2,-3.5,0.4,0.009,0.045,1.013,0.084,-0.003,-0.744
84,-1.6,-3.8,-4.4,-0.018,-0.048,1.03,0.078,-0.006,-0.735
85,0.0,-4.2,-2.7,0.014,-0.063,1.039,0.079,-0.007,-0.717
86,-0.3,-4.4,4.7,-0.05,0.038,1.008,0.075,-0.016,-0.697
87,-0.4,-4.6,-0.7,-0.033,0.006,1.021,0.067,-0.027,-0.673
88,0.0,-2.8,0.2,-0.032,0.031,1.065,0.06,-0.031,-0.624
89,-1.8,-3.6,-0.3,-0.029,-0.017,1.027,0.055,-0.042,-0.57
90,-0.1,-3.7,-5.6,0.01,-0.065,1.065,0.061,-0.054,-0.48
91,-2.0,-1.7,0.7,-0.02,-0.039,1.044,0.04,-0.082,-0.375
92,-2.9,-3.8,0.8,-0.037,-0.052,1.023,0.048,-0.118,-0.27
93,-0.6,-2.8,1.9,-0.054,-0.019,1.055,0.043,-0.142,-0.145
94,-1.6,-2.9,-1.4,-0.007,-0.054,1.001,0.04,-0.171,-0.004
95,-0.7,-2.6,0.7,-0.026,-0.059,1.031,0.037,-0.202,0.121
96,-1.4,-2.5,0.4,-0.016,-0.025,1.039,0.021,-0.238,0.235
97,-1.5,-2.8,0.7,-0.029,-0.038,1.026,-0.004,-0.261,0.333
98,-0.6,-3.2,0.4,-0.017,-0.029,1.01,-0.033,-0.285,0.394
99,0.2,-4.4,1.1,-0.02,-0.015,1.062,-0.052,-0.295,0.426
100,-1.2,-3.0,1.3,-0.041,0.018,1.016,-0.079,-0.295,0.442
101,-0.8,-3.7,0.6,-0.018,-0.023,1.059,-0.112,-0.289,0.424
102,-0.2,-3.9,0.9,-0.023,-0.03,1.071,-0.123,-0.273,0.394
103,-1.0,-2.9,0.7,-0.025,0.0,1.049,-0.139,-0.246,0.333
104,-1.1,-3.6,1.8,-0.021,-0.028,0.999,-0.165,-0.21,0.231
105,-1.6,-3.2,1.6,-0.021,-0.091,1.016,-0.178,-0.18,0.123
106,-0.3,-3.9,0.4,-0.016,-0.024,1.018,-0.184,-0.157,0.013
