,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
72,-1.4,-4.2,0.7,0.026,0.001,1.043,-0.234,-0.034,-1.116
73,-0.9,-8.6,-0.2,0.024,0.013,1.041,-0.223,-0.034,-1.116
74,-1.6,-6.4,0.9,0.029,0.003,1.042,-0.223,-0.04,-1.111
75,-1.0,-2.5,2.2,0.032,0.009,1.04,-0.223,-0.036,-1.108
76,-0.5,-2.8,1.4,0.022,0.015,1.039,-0.223,-0.04,-1.122
77,-1.6,-2.3,1.6,0.032,-0.001,1.043,-0.228,-0.036,-1.126
78,-0.9,-3.2,1.2,0.022,0.0,1.037,-0.225,-0.034,-1.116
79,-1.1,-3.4,1.1,0.027,0.007,1.039,-0.222,-0.039,-1.119
80,-0.9,-3.3,1.0,0.028,0.0,1.04,-0.22,-0.037,-1.129
81,-0.8,-3.3,0.9,0.024,0.012,1.04,-0.226,-0.028,-1.11
82,-1.1,-3.5,1.1,0.026,-0.001,1.039,-0.223,-0.04,-1.125
83,-0.7,-3.3,0.8,0.025,0.008,1.04,-0.228,-0.036,-1.11
84,-1.1,-3.5,0.2,0.026,0.007,1.041,-0.229,-0.031,-1.116
85,-1.3,-3.5,0.0,0.027,0.004,1.04,-0.223,-0.031,-1.125
86,-0.5,-3.2,-0.9,0.028,0.016,1.034,-0.222,-0.034,-1.122
87,-1.3,-3.5,0.6,0.027,0.002,1.04,-0.229,-0.034,-1.107
88,-1.7,-3.4,1.3,0.022,-0.001,1.036,-0.216,-0.036,-1.113
89,-6.0,-2.9,1.4,0.023,-0.005,1.007,-0.219,-0.037,-1.113
90,-0.9,-3.4,1.0,0.027,-0.001,1.041,-0.214,-0.034,-1.111
91,-0.9,-3.4,0.9,0.024,0.008,1.04,-0.222,-0.034,-1.117
92,-1.0,-3.4,1.0,0.027,0.002,1.039,-0.226,-0.039,-1.111
93,-0.9,-3.5,0.9,0.025,0.004,1.041,-0.229,-0.042,-1.119
94,-1.1,-3.5,1.0,0.026,0.005,1.039,-0.223,-0.037,-1.122
95,-1.1,-3.4,1.0,0.027,0.0,1.041,-0.222,-0.039,-1.122
96,-1.1,-3.4,0.9,0.023,0.007,1.039,-0.232,-0.034,-1.117
97,-1.0,-3.5,1.0,0.028,0.003,1.041,-0.22,-0.034,-1.114
98,-1.0,-3.4,0.9,0.025,0.003,1.043,-0.222,-0.036,-1.116
99,-1.1,-3.5,0.9,0.026,0.005,1.04,-0.228,-0.031,-1.119
100,-1.0,-3.4,1.0,0.028,0.001,1.04,-0.229,-0.042,-1.116
101,-0.9,-3.5,0.9,0.023,0.006,1.04,-0.22,-0.036,-1.113
102,-1.0,-3.5,1.0,0.028,0.004,1.041,-0.226,-0.036,-1.125
103,-1.0,-3.4,1.0,0.027,0.002,1.04,-0.226,-0.037,-1.122
104,-1.0,-3.5,0.9,0.025,0.005,1.037,-0.228,-0.046,-1.116
105,-0.9,-3.4,1.0,0.028,0.002,1.039,-0.223,-0.031,-1.113
106,-0.9,-3.4,1.0,0.025,0.005,1.04,-0.222,-0.03,-1.113
107,-1.0,-3.5,1.0,0.026,0.004,1.039,-0.219,-0.036,-1.113
108,-1.0,-3.5,1.0,0.027,0.002,1.038,-0.228,-0.037,-1.126
109,-1.0,-3.4,1.0,0.025,0.006,1.036,-0.226,-0.042,-1.114
110,-0.9,-3.5,1.0,0.028,0.002,1.041,-0.223,-0.03,-1.119
111,-1.0,-3.4,1.0,0.026,0.005,1.036,-0.226,-0.04,-1.123
112,-1.0,-3.3,1.0,0.028,0.005,1.037,-0.231,-0.036,-1.125
113,-0.9,-3.4,1.0,0.028,0.003,1.039,-0.228,-0.036,-1.122
114,-0.9,-3.5,0.9,0.026,0.006,1.039,-0.225,-0.039,-1.116
115,-0.9,-3.5,1.0,0.028,0.003,1.038,-0.228,-0.036,-1.116
116,-0.9,-3.4,1.0,0.024,0.002,1.039,-0.223,-0.04,-1.117
117,-0.9,-3.5,0.9,0.025,0.005,1.037,-0.22,-0.043,-1.113
118,-1.0,-3.4,1.0,0.026,0.002,1.036,-0.222,-0.04,-1.119
119,-1.0,-3.5,1.0,0.024,0.004,1.037,-0.231,-0.028,-1.114
120,-0.9,-3.5,1.0,0.027,0.003,1.039,-0.225,-0.034,-1.116
121,-0.9,-3.4,0.9,0.024,0.003,1.037,-0.217,-0.043,-1.12
122,-1.1,-3.5,1.0,0.024,0.005,1.037,-0.226,-0.031,-1.111
