,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
76,0.002,-0.002,-0.009,-0.007,0.0,998.991,0.319,0.262,0.151
77,0.002,0.0,-0.009,-0.007,0.001,998.993,0.319,0.262,0.151
78,0.002,0.0,-0.009,-0.009,0.001,998.993,0.306,0.268,0.153
79,0.002,0.0,-0.009,-0.007,0.0,998.991,0.312,0.261,0.156
80,0.002,-0.001,-0.009,-0.007,0.0,998.99,0.294,0.265,0.154
81,0.002,-0.001,-0.009,-0.007,0.0,998.991,0.315,0.273,0.172
82,0.002,-0.001,-0.009,-0.007,0.0,998.991,0.315,0.247,0.171
83,0.002,-0.001,-0.009,-0.009,0.0,998.988,0.324,0.27,0.147
84,0.002,0.0,-0.009,-0.009,0.0,998.988,0.322,0.265,0.15
85,0.002,0.0,-0.01,-0.009,0.001,998.989,0.322,0.265,0.15
86,0.002,-0.001,-0.009,-0.008,0.001,998.991,0.319,0.259,0.157
87,0.002,0.0,-0.01,-0.007,0.0,998.99,0.289,0.259,0.166
88,0.002,-0.002,-0.009,-0.006,0.0,998.99,0.322,0.271,0.166
89,0.002,0.0,-0.009,-0.007,0.0,998.991,0.312,0.273,0.153
90,0.002,0.0,-0.009,-0.007,0.001,998.993,0.306,0.265,0.156
91,0.001,0.0,-0.009,-0.009,0.002,998.993,0.313,0.276,0.154
92,0.002,0.0,-0.009,-0.011,0.002,998.992,0.324,0.268,0.135
93,0.003,-0.001,-0.009,-0.007,0.004,998.991,0.316,0.277,0.15
94,0.002,0.0,-0.009,-0.005,0.001,998.992,0.31,0.25,0.159
95,0.002,0.0,-0.009,-0.007,0.001,998.991,0.31,0.25,0.159
96,0.002,-0.002,-0.009,-0.009,0.002,998.99,0.289,0.253,0.147
97,0.002,-0.001,-0.009,-0.007,0.002,998.991,0.325,0.268,0.159
98,0.002,-0.002,-0.009,-0.007,0.002,998.99,0.324,0.264,0.141
99,0.002,-0.001,-0.009,-0.01,0.001,998.992,0.313,0.253,0.154
100,0.002,0.0,-0.009,-0.01,0.0,998.995,0.313,0.262,0.159
101,0.002,0.0,-0.009,-0.009,0.0,998.996,0.304,0.262,0.165
102,0.002,0.0,-0.01,-0.009,0.002,998.996,0.33,0.258,0.162
103,0.002,-0.002,-0.01,-0.01,0.002,998.995,0.316,0.27,0.16
104,0.002,-0.001,-0.01,-0.008,0.002,998.992,0.316,0.27,0.16
105,0.001,-0.002,-0.009,-0.008,0.001,998.991,0.33,0.252,0.166
106,0.003,-0.006,-0.009,-0.008,0.0,998.989,0.343,0.261,0.144
107,0.002,-0.002,-0.009,-0.007,0.0,998.987,0.313,0.247,0.15
108,0.001,-0.001,-0.009,-0.009,0.0,998.989,0.309,0.262,0.156
109,0.002,-0.001,-0.009,-0.009,0.001,998.99,0.315,0.273,0.156
110,0.003,0.0,-0.009,-0.007,0.002,998.99,0.297,0.282,0.157
111,0.002,0.0,-0.01,-0.009,0.004,998.99,0.33,0.258,0.133
112,0.002,-0.001,-0.009,-0.008,0.003,998.991,0.33,0.258,0.133
113,0.002,0.0,-0.009,-0.007,0.003,998.992,0.31,0.265,0.147
114,0.002,-0.001,-0.009,-0.008,0.003,998.991,0.307,0.258,0.148
115,0.002,-0.001,-0.009,-0.008,0.002,998.989,0.301,0.279,0.151
116,0.002,-0.002,-0.009,-0.007,0.002,998.991,0.316,0.261,0.156
117,0.002,-0.001,-0.009,-0.007,0.0,998.99,0.312,0.24,0.157
118,0.003,0.0,-0.009,-0.01,-0.002,998.99,0.307,0.262,0.156
119,0.002,-0.003,-0.009,-0.009,-0.002,998.99,0.322,0.256,0.157
120,0.002,-0.003,-0.009,-0.009,0.0,998.99,0.322,0.246,0.156
121,0.002,-0.001,-0.009,-0.009,0.0,998.99,0.322,0.246,0.156
122,0.002,-0.001,-0.009,-0.01,0.0,998.99,0.309,0.261,0.165
123,0.002,-0.001,-0.009,-0.007,0.002,998.993,0.316,0.261,0.15
124,0.002,-0.001,-0.01,-0.007,0.002,998.993,0.318,0.276,0.165
125,0.002,0.0,-0.01,-0.008,0.002,998.991,0.307,0.265,0.153
126,0.002,-0.001,-0.009,-0.007,0.002,998.99,0.303,0.264,0.159
