,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.0,-3.4,1.0,0.019,-0.018,1.039,-0.237,-0.046,-1.125
2,-0.9,-3.4,1.0,0.018,-0.02,1.041,-0.234,-0.048,-1.128
3,-1.0,-3.4,0.9,0.021,-0.019,1.04,-0.232,-0.046,-1.132
4,-0.9,-3.5,1.1,0.018,-0.018,1.04,-0.24,-0.046,-1.125
5,-0.9,-3.4,1.0,0.019,-0.02,1.039,-0.235,-0.051,-1.12
6,-1.0,-3.4,1.0,0.019,-0.018,1.039,-0.235,-0.043,-1.135
7,-1.1,-3.4,1.0,0.018,-0.019,1.042,-0.244,-0.051,-1.119
8,-1.0,-3.4,1.0,0.019,-0.019,1.039,-0.24,-0.046,-1.135
9,-0.9,-3.4,1.0,0.018,-0.018,1.037,-0.238,-0.055,-1.128
10,-0.9,-3.4,1.0,0.019,-0.02,1.038,-0.232,-0.052,-1.129
11,-0.9,-3.4,1.0,0.02,-0.019,1.039,-0.237,-0.054,-1.126
12,-1.0,-3.4,1.0,0.018,-0.019,1.04,-0.24,-0.048,-1.122
13,-1.4,-3.4,1.1,0.02,-0.013,1.039,-0.238,-0.045,-1.123
14,-0.9,-3.4,1.1,0.02,-0.018,1.038,-0.234,-0.048,-1.125
15,-0.9,-3.4,0.9,0.019,-0.019,1.039,-0.234,-0.049,-1.125
16,-0.8,-3.2,1.0,0.02,0.027,1.039,-0.234,-0.049,-1.122
17,-2.5,-4.2,2.7,0.023,-0.003,1.012,-0.24,-0.048,-1.131
18,-0.9,-3.7,1.1,0.004,-0.012,1.04,-0.249,-0.045,-1.126
19,0.3,-1.2,-1.0,0.017,-0.02,1.039,-0.238,-0.048,-1.122
20,-0.8,-1.5,1.1,0.016,-0.015,1.041,-0.25,-0.046,-1.128
21,11.4,21.4,2.8,-0.02,-0.038,1.078,-0.246,-0.051,-1.123
22,29.8,29.5,3.4,-0.021,0.013,1.03,-0.235,-0.04,-1.116
23,-0.8,-3.4,0.0,-0.023,0.005,1.04,-0.246,-0.03,-1.113
24,-0.7,-3.2,0.9,-0.019,0.011,1.039,-0.252,-0.037,-1.132
25,-0.7,-3.1,1.0,-0.016,0.011,1.042,-0.25,-0.039,-1.126
26,-1.6,3.3,1.6,-0.026,0.009,1.046,-0.247,-0.03,-1.123
27,-1.3,-3.9,1.2,-0.03,0.009,1.039,-0.247,-0.027,-1.122
28,-0.5,-4.7,0.7,-0.019,0.011,1.04,-0.255,-0.039,-1.131
29,1.1,-6.7,-0.2,-0.027,0.008,1.044,-0.247,-0.039,-1.122
30,0.0,-4.6,0.3,-0.02,0.013,1.045,-0.253,-0.034,-1.117
31,0.3,-5.3,0.4,-0.016,0.012,1.043,-0.258,-0.033,-1.131
32,-1.4,-3.0,0.9,-0.017,0.014,1.041,-0.252,-0.039,-1.123
33,-1.1,-2.6,0.9,-0.017,0.015,1.042,-0.25,-0.04,-1.12
34,-0.2,-3.2,-0.2,-0.015,0.012,1.043,-0.25,-0.031,-1.122
35,-0.2,-3.0,0.2,-0.02,0.014,1.043,-0.253,-0.025,-1.126
