,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
72,-1.1,-3.5,1.0,-0.03,-0.029,1.036,0.205,0.034,-0.706
73,-1.3,-3.5,1.2,-0.03,-0.027,1.038,0.205,0.027,-0.702
74,-1.4,-3.3,1.4,-0.03,-0.031,1.035,0.21,0.03,-0.697
75,-1.1,-3.5,0.7,-0.029,-0.029,1.037,0.204,0.034,-0.706
76,-1.1,-3.5,1.0,-0.029,-0.026,1.039,0.201,0.028,-0.697
77,-1.1,-3.4,0.7,-0.029,-0.032,1.039,0.201,0.037,-0.697
78,-1.1,-3.4,0.6,-0.027,-0.024,1.04,0.196,0.034,-0.697
79,-1.1,-3.4,1.1,-0.029,-0.029,1.039,0.196,0.033,-0.7
80,-1.2,-3.4,0.9,-0.029,-0.028,1.039,0.199,0.034,-0.694
81,-1.1,-3.5,1.0,-0.028,-0.027,1.038,0.202,0.036,-0.693
82,-1.1,-3.5,1.0,-0.033,-0.033,1.037,0.204,0.031,-0.697
83,-1.1,-3.5,1.1,-0.028,-0.024,1.036,0.202,0.034,-0.688
84,-1.2,-3.5,1.1,-0.028,-0.032,1.039,0.201,0.033,-0.697
85,-1.2,-3.4,1.0,-0.03,-0.027,1.038,0.196,0.025,-0.696
86,-1.2,-3.4,1.1,-0.031,-0.028,1.038,0.207,0.028,-0.696
87,-1.2,-3.5,1.1,-0.028,-0.03,1.037,0.205,0.034,-0.7
88,-1.2,-3.4,1.0,-0.025,-0.025,1.037,0.205,0.025,-0.699
89,-1.2,-3.5,1.2,-0.031,-0.031,1.037,0.202,0.024,-0.69
90,-1.3,-3.5,1.1,-0.03,-0.026,1.039,0.204,0.03,-0.702
91,-1.1,-3.5,1.0,-0.027,-0.028,1.039,0.196,0.034,-0.693
92,-1.2,-3.5,1.0,-0.027,-0.03,1.039,0.207,0.031,-0.696
93,-1.1,-3.5,1.1,-0.032,-0.026,1.038,0.195,0.034,-0.699
94,-1.1,-3.4,0.9,-0.028,-0.031,1.039,0.201,0.027,-0.699
95,-1.1,-3.4,0.9,-0.026,-0.027,1.038,0.211,0.03,-0.699
96,-1.1,-3.3,-3.2,-0.036,-0.04,1.038,0.201,0.028,-0.693
97,-1.2,-3.5,1.9,-0.032,-0.026,1.039,0.207,0.03,-0.693
98,-1.1,-3.5,1.0,-0.029,-0.036,1.037,0.201,0.022,-0.696
99,-1.3,-3.6,1.0,-0.027,-0.022,1.037,0.21,0.031,-0.7
100,-1.1,-3.5,1.3,-0.031,-0.031,1.036,0.207,0.036,-0.706
101,-1.1,-3.5,1.1,-0.029,-0.031,1.037,0.199,0.033,-0.694
102,-1.1,-3.5,0.9,-0.027,-0.022,1.036,0.204,0.033,-0.7
103,-1.1,-3.5,1.1,-0.03,-0.033,1.038,0.196,0.028,-0.702
104,-1.1,-3.5,1.2,-0.027,-0.022,1.036,0.193,0.037,-0.697
105,-1.1,-3.5,2.7,-0.03,-0.032,1.038,0.193,0.027,-0.709
106,-1.4,-3.5,2.4,-0.026,-0.025,1.038,0.205,0.03,-0.696
107,-1.2,-3.5,1.1,-0.028,-0.028,1.039,0.204,0.028,-0.702
108,-1.2,-3.5,1.4,-0.027,-0.026,1.039,0.198,0.03,-0.702
109,-1.1,-2.9,1.1,0.001,-0.009,1.038,0.208,0.031,-0.697
110,-1.6,-3.5,0.0,-0.063,0.034,1.033,0.201,0.031,-0.708
111,-0.9,-3.3,0.7,-0.027,-0.021,1.032,0.196,0.03,-0.714
112,-1.7,-2.9,1.3,-0.045,0.007,1.029,0.192,0.027,-0.714
113,-1.8,-2.9,0.8,-0.002,0.009,1.05,0.184,0.025,-0.727
114,-0.4,-4.4,-1.5,-0.031,0.02,1.021,0.181,0.018,-0.741
115,-0.7,-3.8,0.5,-0.048,0.036,1.054,0.16,0.019,-0.754
116,-2.4,-1.8,2.2,-0.042,0.056,0.983,0.156,0.022,-0.763
117,-0.5,-4.0,1.7,-0.011,0.009,0.969,0.142,0.016,-0.766
118,0.2,-5.4,0.4,-0.062,0.014,0.989,0.118,-0.001,-0.772
119,-2.1,-1.6,0.5,-0.004,0.043,0.997,0.106,0.003,-0.757
120,-0.4,-2.9,1.8,-0.02,0.066,0.956,0.09,-0.015,-0.742
121,2.7,-7.4,0.2,0.002,0.024,0.935,0.079,-0.019,-0.708
122,1.1,-7.2,2.7,-0.026,0.009,0.966,0.064,-0.036,-0.633
123,-3.0,-0.8,0.1,0.01,-0.038,0.767,0.06,-0.052,-0.523
124,-6.7,2.4,0.4,-0.005,0.012,0.908,0.055,-0.087,-0.342
125,-6.5,3.2,2.7,-0.019,0.026,0.861,0.049,-0.144,-0.105
126,-6.7,3.9,0.2,0.022,-0.014,0.908,0.04,-0.234,0.198
127,2.7,-8.0,0.7,-0.043,-0.017,0.927,0.007,-0.301,0.429
128,-0.8,-3.0,1.0,-0.009,-0.004,0.943,-0.069,-0.273,0.376
129,3.5,-10.8,0.2,-0.003,0.05,0.879,-0.142,-0.18,0.082
130,-2.0,-1.0,1.8,-0.01,-0.032,0.926,-0.175,-0.097,-0.277
131,-6.4,3.7,2.2,-0.038,-0.049,0.844,-0.166,-0.043,-0.552
132,2.5,-6.5,1.2,0.0,-0.065,0.826,-0.144,-0.03,-0.729
133,-2.1,-1.8,2.9,0.003,-0.058,0.801,-0.127,-0.015,-0.841
134,10.7,-19.4,0.7,-0.005,0.03,0.937,-0.124,-0.016,-0.918
135,-1.4,-2.5,0.5,-0.022,-0.009,0.916,-0.126,-0.013,-0.949
136,-2.8,-1.6,0.4,-0.005,-0.047,0.875,-0.129,-0.01,-0.984
137,-5.9,1.6,0.9,-0.004,-0.02,0.966,-0.136,-0.013,-1.003
138,-0.9,-4.0,0.8,-0.016,-0.06,1.002,-0.13,-0.013,-1.02
139,-1.8,-2.6,0.9,-0.033,0.01,0.942,-0.141,-0.015,-1.041
140,1.5,-7.1,1.1,0.012,0.015,0.967,-0.141,-0.024,-1.03
141,-5.3,2.2,1.8,-0.029,-0.038,1.037,-0.148,-0.021,-1.042
142,-0.4,-3.5,0.5,-0.029,-0.014,1.023,-0.15,-0.021,-1.053
143,-1.2,-3.7,1.5,0.0,-0.042,0.978,-0.157,-0.021,-1.051
144,-0.7,-5.1,1.0,-0.023,-0.096,1.012,-0.16,-0.021,-1.06
145,-1.1,-3.2,1.1,-0.042,-0.029,1.072,-0.169,-0.021,-1.053
146,-0.7,-3.7,1.1,-0.021,-0.092,1.048,-0.165,-0.019,-1.053
147,-0.6,-3.6,0.5,-0.029,-0.022,1.048,-0.165,-0.018,-1.06
148,-1.0,-3.7,0.9,-0.027,0.002,1.066,-0.168,-0.025,-1.063
149,-1.6,-3.1,1.4,-0.027,-0.04,1.042,-0.168,-0.019,-1.063
150,-1.4,-3.7,1.4,-0.027,-0.007,1.042,-0.174,-0.024,-1.075
151,-1.3,-3.1,0.7,-0.02,-0.061,1.056,-0.166,-0.021,-1.066
152,-0.7,-3.4,1.1,-0.032,-0.154,1.041,-0.175,-0.025,-1.074
153,-1.2,-3.4,1.6,-0.032,-0.033,1.037,-0.174,-0.03,-1.071
154,-1.1,-3.4,0.9,-0.029,-0.026,1.037,-0.175,-0.03,-1.074
155,-1.1,-3.3,0.9,-0.029,-0.025,1.038,-0.171,-0.024,-1.072
156,-1.2,-3.4,1.1,-0.03,-0.027,1.037,-0.168,-0.015,-1.069
