,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
69,-0.012,-0.015,-0.009,0.142,-0.976,0.011,0.585,-0.21,-0.447
70,-0.012,-0.018,-0.008,0.141,-0.976,0.01,0.583,-0.198,-0.433
71,-0.011,-0.017,-0.008,0.145,-0.976,0.011,0.583,-0.196,-0.444
72,-0.008,-0.012,-0.009,0.145,-0.977,0.01,0.583,-0.19,-0.45
73,-0.008,-0.012,-0.009,0.142,-0.98,0.009,0.598,-0.19,-0.436
74,-0.006,-0.005,-0.009,0.142,-0.979,0.01,0.598,-0.19,-0.436
75,-0.005,-0.004,-0.008,0.142,-0.977,0.013,0.592,-0.198,-0.45
76,-0.004,-0.007,-0.008,0.142,-0.977,0.014,0.58,-0.19,-0.447
77,-0.005,-0.015,-0.007,0.142,-0.974,0.017,0.562,-0.208,-0.456
78,-0.006,-0.016,-0.007,0.138,-0.974,0.018,0.579,-0.205,-0.448
79,-0.008,-0.016,-0.008,0.139,-0.975,0.019,0.579,-0.204,-0.451
80,-0.009,-0.016,-0.009,0.142,-0.976,0.021,0.594,-0.207,-0.441
81,-0.014,-0.027,-0.007,0.143,-0.974,0.018,0.594,-0.207,-0.441
82,-0.012,-0.023,-0.007,0.144,-0.97,0.012,0.57,-0.201,-0.417
83,-0.011,-0.014,-0.007,0.144,-0.968,0.009,0.585,-0.201,-0.46
84,-0.008,-0.003,-0.009,0.149,-0.975,0.014,0.589,-0.192,-0.447
85,-0.002,0.003,-0.007,0.154,-0.981,0.02,0.576,-0.18,-0.453
86,0.0,0.0,-0.005,0.154,-0.978,0.019,0.58,-0.187,-0.468
87,0.0,-0.007,-0.004,0.152,-0.971,0.014,0.58,-0.187,-0.468
88,-0.003,-0.013,-0.004,0.148,-0.965,0.009,0.582,-0.18,-0.454
89,-0.003,-0.009,-0.006,0.148,-0.965,0.009,0.58,-0.19,-0.46
90,-0.001,-0.005,-0.007,0.141,-0.968,0.009,0.595,-0.196,-0.456
91,0.0,-0.003,-0.007,0.137,-0.971,0.012,0.576,-0.186,-0.442
92,-0.001,-0.004,-0.008,0.137,-0.972,0.013,0.586,-0.193,-0.447
93,-0.001,-0.004,-0.008,0.139,-0.973,0.015,0.574,-0.192,-0.445
94,-0.002,-0.007,-0.006,0.142,-0.974,0.017,0.574,-0.192,-0.445
95,-0.006,-0.007,-0.006,0.143,-0.975,0.017,0.568,-0.201,-0.433
96,-0.008,-0.009,-0.006,0.142,-0.976,0.013,0.568,-0.201,-0.433
97,-0.007,-0.004,-0.006,0.137,-0.978,0.01,0.571,-0.193,-0.445
98,-0.009,-0.001,-0.007,0.135,-0.976,0.013,0.589,-0.198,-0.436
99,-0.01,0.0,-0.007,0.135,-0.975,0.016,0.573,-0.193,-0.445
100,-0.01,-0.002,-0.006,0.139,-0.974,0.017,0.574,-0.207,-0.45
101,-0.011,-0.006,-0.005,0.142,-0.973,0.016,0.574,-0.207,-0.45
102,-0.012,-0.008,-0.004,0.139,-0.974,0.014,0.591,-0.192,-0.46
103,-0.011,-0.005,-0.003,0.141,-0.975,0.012,0.588,-0.198,-0.447
104,-0.009,-0.002,-0.003,0.142,-0.975,0.012,0.589,-0.192,-0.442
105,-0.006,-0.002,-0.004,0.14,-0.976,0.012,0.573,-0.189,-0.463
106,-0.004,-0.002,-0.006,0.14,-0.977,0.01,0.579,-0.201,-0.429
107,-0.004,-0.002,-0.007,0.14,-0.974,0.009,0.579,-0.193,-0.447
108,-0.003,-0.001,-0.007,0.137,-0.97,0.01,0.579,-0.193,-0.447
109,-0.002,0.0,-0.009,0.137,-0.97,0.01,0.573,-0.193,-0.454
110,-0.002,-0.001,-0.009,0.137,-0.968,0.011,0.573,-0.193,-0.454
111,0.0,-0.004,-0.009,0.138,-0.972,0.012,0.585,-0.177,-0.441
112,0.001,-0.005,-0.008,0.139,-0.975,0.013,0.592,-0.198,-0.439
113,0.001,-0.005,-0.008,0.139,-0.975,0.014,0.591,-0.195,-0.445
114,0.002,-0.007,-0.007,0.139,-0.973,0.017,0.601,-0.196,-0.444
115,0.003,-0.011,-0.006,0.139,-0.974,0.018,0.601,-0.196,-0.444
116,0.002,-0.013,-0.004,0.139,-0.978,0.02,0.576,-0.183,-0.45
117,0.001,-0.016,-0.006,0.138,-0.976,0.021,0.576,-0.183,-0.45
118,0.0,-0.016,-0.006,0.135,-0.975,0.017,0.579,-0.196,-0.445
119,0.001,-0.011,-0.006,0.135,-0.974,0.016,0.576,-0.199,-0.456
120,-0.001,-0.011,-0.007,0.139,-0.975,0.017,0.573,-0.19,-0.447
121,-0.002,-0.011,-0.006,0.141,-0.979,0.016,0.571,-0.184,-0.448
122,-0.003,-0.012,-0.006,0.139,-0.981,0.015,0.571,-0.184,-0.448
123,-0.005,-0.017,-0.004,0.138,-0.979,0.016,0.564,-0.201,-0.436
124,-0.005,-0.018,-0.006,0.139,-0.976,0.016,0.57,-0.207,-0.439
125,-0.004,-0.02,-0.006,0.14,-0.974,0.01,0.574,-0.207,-0.45
126,-0.002,-0.019,-0.006,0.138,-0.972,0.01,0.571,-0.193,-0.456
127,-0.004,-0.018,-0.007,0.138,-0.972,0.01,0.579,-0.187,-0.444
128,-0.003,-0.018,-0.009,0.135,-0.972,0.013,0.55,-0.205,-0.46
129,-0.002,-0.018,-0.009,0.135,-0.974,0.014,0.55,-0.205,-0.46
130,-0.004,-0.028,-0.005,0.137,-0.975,0.016,0.579,-0.189,-0.447
131,-0.004,-0.026,-0.004,0.141,-0.973,0.014,0.579,-0.189,-0.447
132,-0.002,-0.022,-0.006,0.139,-0.971,0.012,0.556,-0.192,-0.454
133,-0.002,-0.022,-0.006,0.135,-0.971,0.014,0.582,-0.199,-0.468
134,-0.002,-0.02,-0.007,0.138,-0.973,0.017,0.582,-0.201,-0.454
135,-0.002,-0.02,-0.008,0.141,-0.975,0.018,0.579,-0.201,-0.459
136,-0.001,-0.023,-0.008,0.142,-0.977,0.016,0.579,-0.201,-0.459
137,0.002,-0.021,-0.007,0.142,-0.977,0.015,0.579,-0.201,-0.459
138,0.0,-0.022,-0.007,0.141,-0.976,0.016,0.574,-0.213,-0.477
139,-0.002,-0.027,-0.007,0.142,-0.974,0.016,0.573,-0.193,-0.468
140,-0.002,-0.029,-0.007,0.143,-0.975,0.014,0.582,-0.195,-0.454
141,-0.002,-0.03,-0.006,0.143,-0.977,0.012,0.564,-0.189,-0.444
142,-0.006,-0.029,-0.006,0.14,-0.975,0.013,0.565,-0.195,-0.459
143,-0.009,-0.023,-0.007,0.141,-0.972,0.013,0.565,-0.195,-0.459
144,-0.006,-0.018,-0.007,0.145,-0.97,0.012,0.579,-0.175,-0.45
145,-0.001,-0.016,-0.005,0.149,-0.97,0.014,0.579,-0.175,-0.45
146,0.0,-0.014,-0.004,0.149,-0.974,0.017,0.573,-0.195,-0.462
147,0.0,-0.011,-0.004,0.148,-0.975,0.02,0.556,-0.223,-0.46
148,0.0,-0.011,-0.004,0.148,-0.975,0.02,0.577,-0.187,-0.451
149,0.0,-0.008,-0.004,0.146,-0.976,0.021,0.577,-0.192,-0.447
150,0.0,-0.01,-0.005,0.143,-0.975,0.022,0.577,-0.192,-0.447
151,-0.003,-0.011,-0.007,0.144,-0.974,0.021,0.582,-0.207,-0.454
152,-0.004,-0.011,-0.009,0.146,-0.971,0.017,0.576,-0.186,-0.459
153,-0.004,-0.011,-0.009,0.144,-0.971,0.014,0.57,-0.186,-0.441
154,-0.006,-0.009,-0.009,0.143,-0.974,0.012,0.591,-0.184,-0.46
