,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
6459,-0.147,-0.721,-0.119,0.572,0.239,0.794,0.288,0.516,-0.483
6460,-0.17,-0.847,-0.206,0.588,0.246,0.799,0.283,0.52,-0.466
6461,-0.142,-1.048,-0.305,0.563,0.293,0.8,0.274,0.523,-0.501
6462,-0.17,-1.25,-0.35,0.525,0.32,0.801,0.276,0.523,-0.454
6463,-0.215,-1.404,-0.344,0.5,0.274,0.869,0.241,0.493,-0.447
6464,0.047,-2.965,-0.726,0.031,0.509,1.059,0.258,0.516,-0.43
6465,0.093,-4.641,-0.867,0.59,0.284,1.292,0.232,0.508,-0.405
6466,0.231,-3.661,-1.232,0.59,0.284,1.292,0.207,0.481,-0.37
6467,0.54,-3.434,-1.442,1.724,0.09,1.362,0.199,0.46,-0.291
6468,0.937,-3.321,-1.535,1.833,0.343,1.1,0.174,0.453,-0.255
6469,0.578,-2.048,-0.921,1.961,0.161,0.864,0.163,0.441,-0.219
6470,0.271,-1.396,-0.28,1.41,0.263,0.936,0.175,0.417,-0.196
6471,0.005,0.489,0.206,1.406,0.722,1.49,0.166,0.424,-0.172
6472,-0.015,0.786,0.063,1.024,0.576,1.408,0.178,0.43,-0.18
6473,-0.154,0.531,-0.046,-0.257,0.124,0.858,0.166,0.421,-0.175
6474,-0.107,0.842,-0.093,-0.343,0.214,0.66,0.166,0.421,-0.175
6475,0.067,1.541,0.012,0.315,0.429,0.728,0.163,0.417,-0.177
6476,-0.016,2.032,0.207,0.715,0.363,0.844,0.159,0.421,-0.195
6477,-0.218,2.261,0.496,0.423,0.245,0.745,0.157,0.438,-0.256
6478,-0.136,2.546,0.66,0.41,0.268,0.66,0.165,0.436,-0.256
6479,-0.101,2.536,0.664,0.565,0.316,0.637,0.16,0.46,-0.295
6480,-0.312,2.535,0.648,0.509,0.133,0.672,0.169,0.463,-0.319
6481,-0.357,2.708,0.671,0.716,0.027,0.795,0.187,0.489,-0.36
6482,-0.336,2.655,0.667,0.954,0.105,0.867,0.19,0.499,-0.36
6483,-0.405,2.391,0.581,0.954,0.105,0.867,0.226,0.495,-0.394
6484,-0.396,1.955,0.627,0.992,0.072,0.92,0.223,0.507,-0.417
6485,-0.319,2.343,0.559,1.284,0.222,1.02,0.244,0.52,-0.426
6486,-0.315,2.258,0.471,1.455,0.231,1.036,0.252,0.516,-0.447
6487,-0.392,2.101,0.409,1.399,0.099,0.987,0.277,0.543,-0.465
6488,-0.596,2.112,0.446,1.474,0.01,1.056,0.27,0.525,-0.474
6489,-0.638,2.001,0.424,1.561,-0.068,1.014,0.27,0.525,-0.474
6490,-0.446,1.69,0.338,1.51,-0.044,0.768,0.315,0.552,-0.502
6491,-0.536,1.593,0.393,1.555,-0.107,0.637,0.31,0.543,-0.519
6492,-0.538,1.167,0.307,1.597,-0.184,0.381,0.318,0.552,-0.502
6493,-0.466,0.53,0.094,1.521,-0.262,-0.114,0.33,0.543,-0.513
6494,0.025,-0.27,-0.122,1.498,-0.237,-0.489,0.343,0.574,-0.52
6495,0.52,-1.302,-0.287,1.374,0.036,-0.561,0.346,0.573,-0.507
6496,0.169,-0.926,-0.19,1.348,0.024,-0.534,0.318,0.567,-0.519
6497,0.485,-1.092,-0.564,1.183,0.057,0.482,0.321,0.555,-0.486
6498,0.548,-2.55,-1.123,-0.137,0.11,1.501,0.309,0.547,-0.487
6499,0.243,-1.091,-0.772,0.38,-0.03,1.281,0.276,0.537,-0.483
6500,1.743,-0.829,-0.822,0.752,0.546,1.714,0.267,0.535,-0.475
6501,0.938,-0.718,-0.112,0.752,0.546,1.714,0.238,0.511,-0.466
6502,-0.827,-0.158,-0.058,0.732,-0.089,1.646,0.229,0.504,-0.48
6503,-0.115,-0.309,-0.089,0.888,-0.118,0.991,0.222,0.504,-0.469
