,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-0.9,-3.4,1.0,-0.007,-0.041,1.039,-0.201,-0.012,-1.125
2,-1.0,-3.5,1.1,-0.009,-0.037,1.037,-0.213,-0.013,-1.122
3,-1.1,-3.4,1.0,-0.008,-0.04,1.037,-0.201,-0.01,-1.129
4,-1.0,-3.4,1.0,-0.007,-0.04,1.037,-0.205,-0.007,-1.12
5,-1.0,-3.4,1.0,-0.008,-0.039,1.036,-0.213,-0.01,-1.131
6,-1.0,-3.4,1.0,-0.008,-0.041,1.035,-0.207,-0.018,-1.126
7,-1.0,-3.4,1.0,-0.01,-0.039,1.035,-0.202,-0.01,-1.134
8,-1.0,-3.4,1.0,-0.008,-0.041,1.035,-0.214,-0.009,-1.125
9,-1.1,-3.4,1.0,-0.008,-0.04,1.035,-0.214,-0.009,-1.128
10,-1.1,-3.4,1.0,-0.008,-0.039,1.035,-0.207,-0.013,-1.123
11,-0.9,-2.4,0.9,-0.012,-0.039,1.044,-0.21,-0.009,-1.126
12,-1.3,-3.0,1.0,-0.01,-0.037,1.038,-0.199,-0.015,-1.12
13,-4.0,-2.2,4.1,0.001,-0.073,1.051,-0.205,-0.013,-1.123
14,-0.3,-2.2,0.9,-0.009,-0.041,1.039,-0.208,-0.009,-1.135
15,-1.2,-3.4,1.0,-0.013,-0.037,1.039,-0.202,-0.01,-1.122
16,-1.4,-2.8,1.0,-0.008,-0.04,1.041,-0.201,-0.01,-1.117
17,-1.4,-3.5,1.4,-0.013,-0.038,1.04,-0.202,-0.01,-1.137
18,-1.7,-3.7,1.6,-0.011,-0.043,1.04,-0.204,-0.006,-1.128
19,-1.6,-3.9,1.8,-0.004,-0.043,1.041,-0.201,-0.012,-1.126
20,-1.3,-3.3,1.1,-0.013,-0.041,1.042,-0.21,-0.009,-1.12
21,-1.3,-3.2,0.9,-0.008,-0.041,1.041,-0.204,-0.013,-1.128
22,-0.9,-3.4,1.1,-0.009,-0.038,1.042,-0.204,-0.013,-1.125
23,-0.7,-3.0,1.0,-0.011,-0.042,1.039,-0.207,-0.012,-1.117
24,-0.8,-2.8,1.0,-0.008,-0.04,1.044,-0.193,-0.013,-1.114
25,-0.2,-3.0,1.1,-0.012,-0.037,1.044,-0.196,-0.018,-1.129
26,-0.6,-3.2,1.1,-0.011,-0.041,1.044,-0.202,-0.01,-1.12
27,-0.9,-3.4,1.1,-0.01,-0.037,1.042,-0.204,-0.015,-1.12
28,-1.1,-3.0,1.1,-0.012,-0.038,1.044,-0.201,-0.012,-1.116
29,-1.1,-3.0,1.0,-0.01,-0.04,1.042,-0.196,-0.013,-1.128
30,-0.7,-2.8,1.0,-0.011,-0.037,1.042,-0.21,-0.009,-1.126
31,-1.0,-3.5,1.1,-0.013,-0.038,1.044,-0.213,-0.015,-1.12
32,-1.1,-3.5,0.9,-0.011,-0.039,1.041,-0.214,-0.012,-1.12
33,-0.9,-3.3,1.0,-0.01,-0.038,1.044,-0.207,-0.016,-1.122
34,-0.5,-3.2,0.9,-0.012,-0.038,1.045,-0.202,-0.006,-1.116
35,-0.6,-2.6,-0.4,-0.011,-0.039,1.045,-0.208,-0.01,-1.128
36,0.7,-4.2,6.7,-0.005,-0.125,1.038,-0.21,-0.013,-1.123
37,1.4,-2.7,12.2,-0.003,-0.109,1.054,-0.208,-0.007,-1.119
38,1.0,-4.4,9.1,-0.035,-0.234,1.029,-0.196,-0.015,-1.131
39,-0.4,-2.8,-0.3,-0.03,-0.116,1.079,-0.211,-0.009,-1.123
40,0.0,-4.9,0.6,0.016,-0.128,1.063,-0.201,-0.016,-1.117
41,3.5,-11.1,3.0,-0.029,-0.296,1.08,-0.199,-0.013,-1.126
42,-6.0,-0.7,0.3,0.051,-0.1,1.069,-0.198,-0.013,-1.131
43,0.0,-3.0,-6.2,-0.019,-0.202,1.073,-0.208,-0.007,-1.14
44,-20.7,14.6,2.5,0.059,0.13,1.075,-0.213,-0.009,-1.126
45,0.0,-9.6,2.7,0.021,0.061,1.069,-0.208,-0.01,-1.128
