,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,-1.0,-3.5,1.1,-0.049,0.035,1.036,-0.493,-0.286,-1.104
2,-1.1,-3.5,1.1,-0.05,0.034,1.038,-0.493,-0.286,-1.096
3,-1.1,-3.5,1.1,-0.05,0.034,1.039,-0.499,-0.294,-1.098
4,-0.9,-3.5,1.1,-0.049,0.035,1.037,-0.493,-0.289,-1.102
5,-1.0,-3.5,1.0,-0.048,0.034,1.037,-0.498,-0.285,-1.107
6,-1.0,-3.5,1.1,-0.051,0.035,1.037,-0.492,-0.289,-1.098
7,-0.9,-3.5,1.1,-0.05,0.034,1.036,-0.501,-0.288,-1.093
8,-1.0,-3.5,1.1,-0.049,0.035,1.036,-0.495,-0.294,-1.098
9,-1.0,-3.5,1.1,-0.05,0.034,1.037,-0.502,-0.288,-1.09
10,-1.1,-3.5,1.1,-0.051,0.035,1.038,-0.489,-0.294,-1.101
11,-1.0,-3.5,1.1,-0.049,0.034,1.038,-0.496,-0.295,-1.098
12,-1.0,-3.5,1.0,-0.05,0.035,1.038,-0.492,-0.288,-1.096
13,-1.0,-3.5,1.1,-0.049,0.035,1.038,-0.49,-0.295,-1.092
14,-1.1,-3.4,1.0,-0.049,0.033,1.039,-0.501,-0.289,-1.095
15,-1.0,-3.5,1.0,-0.05,0.035,1.038,-0.495,-0.286,-1.093
16,-1.1,-3.5,1.1,-0.05,0.033,1.037,-0.501,-0.294,-1.105
17,-1.1,-3.5,1.0,-0.05,0.034,1.038,-0.495,-0.298,-1.107
18,-1.1,-3.5,1.1,-0.049,0.033,1.037,-0.513,-0.294,-1.096
19,-7.5,-3.5,8.1,-0.059,0.021,1.03,-0.498,-0.304,-1.105
20,-11.6,-3.7,-4.7,-0.026,0.03,1.042,-0.499,-0.294,-1.101
21,2.7,-2.8,5.0,-0.076,0.049,1.014,-0.501,-0.304,-1.108
22,-6.5,-3.7,4.2,-0.059,0.012,1.031,-0.501,-0.315,-1.107
23,-8.3,-4.0,7.7,-0.052,0.007,1.043,-0.489,-0.313,-1.11
24,-1.1,-3.5,0.8,-0.049,0.008,1.039,-0.495,-0.312,-1.104
25,-1.1,-3.5,1.1,-0.049,0.007,1.04,-0.487,-0.309,-1.105
26,-1.1,-3.5,1.1,-0.05,0.007,1.041,-0.486,-0.307,-1.113
27,-0.3,-3.8,14.7,0.013,0.12,1.042,-0.486,-0.304,-1.113
28,55.0,-109.2,-34.6,0.099,0.145,1.417,-0.487,-0.291,-1.102
29,-78.6,49.6,-23.0,0.144,0.11,1.189,-0.51,-0.193,-1.2
30,-47.8,45.5,5.4,0.188,-0.164,1.052,-0.456,-0.105,-1.228
31,-15.5,10.8,19.1,0.053,-0.112,1.012,-0.286,-0.09,-1.191
32,9.8,2.5,13.1,0.056,-0.111,0.886,-0.184,-0.06,-1.159
33,21.6,12.8,15.2,-0.019,-0.116,0.937,-0.169,-0.033,-1.134
34,17.9,-10.9,0.3,0.003,-0.046,0.809,-0.187,-0.009,-1.126
