gyroX[mdps],gyroY[mdps],gyroZ[mdps],magX[mG],magY[mG],magZ[mG],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
2,-2,-13,712,216,-531,-21,59,1000,0:48:34
2,-2,-13,721,216,-544,-21,59,999,0:48:34
2,-1,-13,721,210,-537,-21,59,999,0:48:34
2,-2,-13,709,210,-529,-21,59,1000,0:48:34
2,-2,-13,715,202,-537,-21,59,1000,0:48:34
2,-1,-13,715,202,-537,-21,59,1000,0:48:34
2,-1,-13,706,207,-541,-22,59,1000,0:48:34
2,-1,-13,717,208,-532,-21,59,999,0:48:34
2,-1,-13,721,204,-529,-21,59,1000,0:48:34
2,-2,-13,717,208,-535,-22,59,1000,0:48:34
2,-1,-13,715,214,-541,-21,59,999,0:48:34
2,-1,-13,711,211,-526,-21,59,1000,0:48:34
2,-1,-13,709,210,-535,-21,59,999,0:48:34
2,0,-13,714,208,-529,-21,59,999,0:48:34
2,0,-13,717,207,-529,-21,59,999,0:48:34
2,-1,-13,715,216,-532,-22,59,1000,0:48:34
2,-1,-13,709,216,-531,-21,59,1000,0:48:34
2,-2,-13,718,211,-532,-21,59,1000,0:48:34
2,-1,-13,718,211,-532,-21,59,999,0:48:34
2,0,-13,715,208,-540,-22,59,999,0:48:34
2,-1,-13,715,213,-538,-22,59,999,0:48:34
2,-1,-13,714,217,-528,-21,58,1000,0:48:34
2,-1,-13,717,208,-544,-21,59,1000,0:48:35
2,-2,-13,715,213,-537,-20,59,1000,0:48:35
2,-2,-13,711,213,-534,-21,59,1000,0:48:35
2,-1,-13,711,211,-528,-21,59,1000,0:48:35
1,-3,-13,717,211,-538,-21,59,1000,0:48:35
2,-1,-13,714,213,-534,-21,59,999,0:48:35
2,-2,-13,708,210,-531,-21,59,999,0:48:35
2,-1,-13,714,211,-531,-21,59,1000,0:48:35
2,-1,-13,718,208,-534,-21,59,999,0:48:35
2,-2,-13,709,207,-534,-21,59,999,0:48:35
1,-1,-13,712,210,-540,-21,59,999,0:48:35
2,-2,-13,718,213,-534,-21,59,1000,0:48:35
2,-1,-13,712,211,-528,-21,59,1000,0:48:35
2,-3,-13,714,213,-543,-21,59,1000,0:48:35
2,-1,-13,723,210,-540,-21,59,1000,0:48:35
2,-1,-13,718,219,-537,-21,59,1000,0:48:35
2,-1,-13,706,219,-538,-21,59,999,0:48:35
2,-2,-13,714,217,-544,-21,59,999,0:48:35
2,-2,-13,714,217,-544,-21,59,1000,0:48:35
2,-1,-13,723,204,-534,-21,58,1000,0:48:35
2,0,-13,718,210,-532,-21,58,1000,0:48:35
2,0,-13,711,216,-552,-22,59,1000,0:48:35
2,-1,-13,718,213,-541,-21,58,1000,0:48:35
2,0,-13,715,216,-529,-22,59,999,0:48:35
2,-1,-13,720,211,-537,-21,59,1000,0:48:35
2,-1,-13,715,210,-541,-21,59,999,0:48:35
2,-2,-13,714,216,-538,-21,59,999,0:48:35
2,-1,-14,717,213,-538,-21,59,1000,0:48:35
2,-1,-13,712,202,-537,-21,59,1000,0:48:35
2,-1,-13,720,217,-532,-21,59,1000,0:48:35
2,0,-13,706,205,-534,-21,59,1000,0:48:35
2,-1,-13,711,216,-529,-21,59,999,0:48:35
2,-1,-13,714,216,-532,-21,59,999,0:48:35
2,-2,-12,714,216,-532,-21,58,999,0:48:35
2,-1,-13,712,226,-526,-21,59,999,0:48:35
2,-1,-13,711,213,-535,-22,59,1000,0:48:35
2,-2,-13,708,207,-525,-22,59,1000,0:48:35
2,-1,-13,715,208,-538,-21,59,999,0:48:35
2,-1,-13,718,213,-535,-21,59,999,0:48:35
2,-1,-13,724,208,-525,-21,59,999,0:48:35
2,-1,-13,717,210,-531,-21,59,999,0:48:35
2,-1,-13,711,213,-534,-22,59,1000,0:48:35
2,-1,-13,717,204,-538,-22,59,1000,0:48:35
2,-2,-13,714,207,-519,-22,59,1000,0:48:35
2,-1,-13,715,214,-537,-21,59,1000,0:48:35
2,-2,-13,715,214,-537,-21,59,1000,0:48:35
2,-1,-13,705,208,-537,-21,59,1000,0:48:35
2,0,-13,699,219,-525,-21,59,999,0:48:35
2,-1,-13,699,219,-525,-21,59,999,0:48:35
2,-1,-13,712,207,-526,-22,59,1000,0:48:35
2,-1,-13,712,207,-526,-21,58,1000,0:48:35
2,-1,-13,717,208,-531,-21,58,1000,0:48:36
2,0,-13,709,213,-528,-21,59,999,0:48:36
2,0,-13,714,213,-529,-21,58,999,0:48:36
2,-1,-14,714,219,-535,-22,58,999,0:48:36
2,-1,-13,714,213,-538,-21,58,999,0:48:36
2,-1,-13,709,219,-525,-21,59,999,0:48:36
2,-1,-13,718,217,-529,-21,59,1000,0:48:36
2,-1,-13,715,214,-526,-21,59,1000,0:48:36
2,-1,-13,715,214,-526,-21,59,999,0:48:36
2,-2,-13,706,214,-523,-21,59,1000,0:48:36
2,-1,-13,715,211,-532,-21,59,1000,0:48:36
2,-2,-13,715,213,-531,-21,59,1000,0:48:36
2,-2,-13,712,213,-534,-21,59,1000,0:48:36
2,-2,-13,712,217,-525,-21,59,1000,0:48:36
2,-2,-13,705,211,-519,-22,59,999,0:48:36
2,0,-13,718,219,-535,-22,59,999,0:48:36
2,-1,-13,720,213,-523,-22,59,1000,0:48:36
2,-2,-13,715,211,-535,-22,59,1000,0:48:36
2,-1,-13,726,219,-529,-21,59,999,0:48:36
2,-1,-13,723,211,-535,-21,59,999,0:48:36
2,-1,-13,720,213,-534,-21,59,999,0:48:36
2,-4,-12,715,201,-523,-21,59,999,0:48:36
2,-2,-13,718,219,-535,-21,59,1000,0:48:36
2,-1,-13,718,219,-535,-21,59,999,0:48:36
2,-2,-13,711,214,-528,-21,59,1000,0:48:36
2,-1,-13,723,208,-528,-21,59,1000,0:48:36
2,0,-13,717,207,-535,-21,59,1000,0:48:36
2,-3,-13,714,204,-537,-22,59,999,0:48:36
2,-2,-13,715,214,-532,-21,59,999,0:48:36
2,-1,-13,706,211,-534,-21,60,999,0:48:36
2,-1,-13,718,207,-540,-21,59,999,0:48:36
2,0,-13,715,210,-531,-21,59,999,0:48:36
2,-1,-13,720,208,-543,-22,59,999,0:48:36
2,-1,-13,717,213,-534,-22,59,1000,0:48:36
2,-1,-13,709,214,-532,-21,59,999,0:48:36
2,-2,-13,709,217,-529,-21,59,999,0:48:36
2,-2,-13,705,204,-531,-21,59,1000,0:48:36
2,0,-13,705,204,-531,-21,59,1000,0:48:36
2,0,-13,705,214,-538,-21,59,999,0:48:36
2,-2,-13,714,217,-535,-21,59,999,0:48:36
2,0,-13,703,214,-532,-21,59,1000,0:48:36
2,-2,-13,720,210,-537,-21,59,999,0:48:36
2,-1,-13,708,208,-535,-21,59,999,0:48:36
2,-1,-13,720,211,-529,-21,59,1000,0:48:36
2,-2,-13,712,213,-534,-22,59,1000,0:48:36
2,-2,-13,714,210,-532,-21,59,999,0:48:36
2,-1,-13,711,213,-535,-21,59,999,0:48:36
2,-2,-13,709,211,-540,-21,59,999,0:48:36
2,-1,-13,715,220,-529,-22,59,999,0:48:36
2,-2,-13,709,211,-540,-22,59,1000,0:48:36
2,-2,-13,717,211,-538,-21,59,1000,0:48:37
2,-2,-13,717,211,-538,-21,59,1000,0:48:37
2,-2,-13,718,210,-534,-22,59,1000,0:48:37
2,0,-13,708,208,-532,-22,59,1000,0:48:37
2,-1,-13,715,211,-534,-21,59,1000,0:48:37
2,-1,-13,720,210,-538,-21,59,1000,0:48:37
2,-1,-13,712,214,-531,-22,59,1000,0:48:37
2,-2,-13,718,222,-535,-22,59,999,0:48:37
2,-2,-13,709,208,-531,-22,59,999,0:48:37
2,-1,-13,715,207,-531,-21,59,1000,0:48:37
2,-2,-13,717,211,-543,-21,59,1000,0:48:37
2,-1,-13,717,211,-537,-21,58,999,0:48:37
2,-1,-13,715,219,-534,-21,58,999,0:48:37
2,-1,-13,711,205,-538,-21,59,1000,0:48:37
2,-1,-13,709,211,-531,-22,59,1000,0:48:37
2,-1,-13,717,214,-543,-21,60,1000,0:48:37
1,0,-13,718,210,-537,-21,60,1000,0:48:37
2,-1,-13,711,213,-541,-21,59,999,0:48:37
2,-1,-13,718,214,-534,-21,60,999,0:48:37
2,-1,-13,711,217,-534,-21,59,999,0:48:37
2,-1,-14,714,213,-528,-21,59,999,0:48:37
2,-1,-13,717,208,-535,-21,59,999,0:48:37
2,-1,-13,717,208,-535,-22,59,1000,0:48:37
2,-4,-13,714,214,-534,-22,59,999,0:48:37
2,-3,-13,718,213,-537,-21,59,999,0:48:37
2,-1,-13,721,211,-531,-21,59,999,0:48:37
2,-2,-13,720,216,-529,-21,59,999,0:48:37
2,-2,-13,723,214,-535,-21,58,999,0:48:37
2,-1,-13,709,214,-537,-21,58,999,0:48:37
2,0,-13,718,214,-535,-21,59,999,0:48:37
2,0,-13,721,211,-534,-21,59,999,0:48:37
2,-2,-13,723,219,-532,-21,59,1000,0:48:37
2,-1,-13,720,205,-537,-21,59,1000,0:48:37
2,0,-13,715,216,-540,-21,59,1000,0:48:37
2,0,-13,705,210,-529,-21,59,1000,0:48:37
2,-1,-13,718,208,-532,-22,59,999,0:48:37
1,0,-13,714,216,-535,-21,59,1000,0:48:37
2,0,-13,721,217,-532,-21,59,1000,0:48:37
2,-1,-13,721,217,-532,-21,59,1000,0:48:37
2,-2,-13,715,213,-529,-21,59,1000,0:48:37
2,-2,-13,715,213,-529,-21,59,999,0:48:37
2,-1,-13,715,208,-547,-21,59,999,0:48:37
2,0,-13,715,210,-523,-21,59,1000,0:48:37
2,0,-13,715,210,-523,-21,58,1000,0:48:37
2,-2,-13,714,210,-537,-21,59,1000,0:48:37
2,-1,-13,709,211,-543,-21,59,999,0:48:37
2,-1,-13,709,220,-519,-21,59,1000,0:48:37
2,-1,-13,721,207,-529,-22,59,1000,0:48:37
2,-2,-13,720,211,-534,-21,59,1000,0:48:37
2,-2,-13,703,214,-525,-21,59,1000,0:48:37
2,-2,-13,712,216,-544,-21,59,1000,0:48:37
2,-1,-13,720,219,-535,-21,59,1000,0:48:37
2,-1,-13,702,205,-528,-21,59,999,0:48:37
2,-2,-13,702,205,-528,-21,59,999,0:48:37
2,-1,-13,706,210,-540,-22,59,1000,0:48:37
2,0,-13,705,216,-522,-22,59,999,0:48:37
2,0,-13,705,216,-522,-22,59,999,0:48:38
2,-1,-13,718,211,-541,-22,59,999,0:48:38
2,-2,-13,712,211,-535,-21,59,999,0:48:38
2,-2,-12,703,214,-537,-21,59,999,0:48:38
2,-2,-13,711,214,-535,-22,59,999,0:48:38
2,-1,-13,709,207,-535,-21,59,999,0:48:38
