gyroX[mdps],gyroY[mdps],gyroZ[mdps],magX[mG],magY[mG],magZ[mG],accX[mg],accY[mg],accZ[mg],hh:mm:ss.ms
2,-1,-7,256,181,88,-4,10,-1008,14:36.9
2,0,-7,262,181,81,-4,10,-1008,14:36.9
2,0,-7,261,187,85,-4,10,-1008,14:37.0
2,0,-7,261,183,84,-4,10,-1008,14:37.0
2,0,-7,252,187,87,-4,10,-1009,14:37.0
2,-1,-7,265,183,91,-4,10,-1009,14:37.0
2,-1,-7,259,190,78,-4,10,-1008,14:37.0
2,0,-7,252,186,91,-4,10,-1007,14:37.0
2,-1,-7,253,187,90,-3,10,-1009,14:37.1
2,0,-7,261,180,82,-4,11,-1009,14:37.1
2,0,-7,255,181,90,-4,10,-1008,14:37.1
2,-1,-7,261,187,79,-4,10,-1008,14:37.1
2,-1,-7,256,181,82,-4,10,-1008,14:37.1
2,0,-7,273,174,81,-4,10,-1008,14:37.2
2,-1,-7,249,181,85,-4,10,-1008,14:37.2
2,-1,-7,267,187,91,-4,11,-1008,14:37.2
2,-1,-7,267,187,91,-4,11,-1008,14:37.2
2,0,-7,273,192,91,-3,10,-1009,14:37.2
2,0,-7,264,184,87,-4,10,-1009,14:37.3
2,0,-7,264,181,84,-4,10,-1009,14:37.3
2,0,-7,264,184,88,-4,10,-1008,14:37.3
2,-1,-7,267,183,85,-4,11,-1008,14:37.3
2,-1,-7,261,184,78,-4,11,-1009,14:37.3
2,0,-7,259,186,81,-4,10,-1008,14:37.4
2,-4,-7,264,184,85,-3,10,-1008,14:37.4
2,-3,-7,264,184,85,-4,10,-1008,14:37.4
2,-1,-7,264,181,81,-4,10,-1008,14:37.4
2,0,-7,256,184,82,-4,10,-1008,14:37.4
2,0,-7,255,186,91,-3,10,-1008,14:37.5
2,-1,-7,261,175,91,-4,10,-1008,14:37.5
2,-1,-7,265,189,85,-3,10,-1008,14:37.5
2,0,-7,262,186,90,-3,10,-1008,14:37.5
2,-2,-7,262,186,90,-4,10,-1008,14:37.5
2,0,-7,264,186,88,-4,10,-1008,14:37.6
2,-1,-7,258,192,87,-4,10,-1009,14:37.6
2,0,-7,262,192,84,-4,10,-1008,14:37.6
2,-1,-7,261,181,96,-4,11,-1008,14:37.6
2,-1,-7,268,181,88,-4,11,-1008,14:37.6
2,0,-7,264,184,94,-4,11,-1008,14:37.7
2,-2,-7,265,190,82,-4,10,-1008,14:37.7
2,0,-7,265,178,81,-4,10,-1008,14:37.7
2,0,-7,262,184,94,-4,10,-1008,14:37.7
3,0,-7,258,183,93,-4,10,-1008,14:37.7
2,-1,-7,264,189,87,-4,11,-1008,14:37.8
2,0,-7,258,180,84,-4,11,-1008,14:37.8
2,0,-7,258,180,96,-3,10,-1008,14:37.8
2,0,-7,262,189,87,-3,10,-1009,14:37.8
2,0,-7,262,189,87,-4,10,-1008,14:37.8
2,-1,-7,259,187,72,-4,11,-1008,14:37.9
2,0,-7,255,190,88,-4,11,-1009,14:37.9
2,0,-7,261,180,82,-4,10,-1008,14:37.9
2,-1,-7,261,180,88,-4,10,-1008,14:37.9
2,0,-7,262,180,82,-4,10,-1008,14:37.9
2,0,-7,255,189,79,-4,10,-1008,14:38.0
2,-1,-7,258,187,87,-4,10,-1008,14:38.0
2,-1,-7,249,187,84,-4,10,-1008,14:38.0
2,-1,-7,261,183,91,-3,10,-1008,14:38.0
2,-1,-7,255,190,84,-4,11,-1008,14:38.0
2,0,-7,261,192,90,-4,11,-1008,14:38.1
2,-1,-7,258,187,91,-4,10,-1008,14:38.1
2,0,-7,258,186,91,-4,10,-1008,14:38.1
2,-1,-7,258,186,91,-4,11,-1008,14:38.1
2,0,-7,250,187,87,-4,11,-1008,14:38.1
2,0,-7,267,190,81,-4,10,-1008,14:38.2
2,-1,-7,265,184,90,-4,10,-1008,14:38.2
2,-1,-7,265,190,82,-4,10,-1008,14:38.2
2,-1,-7,265,187,96,-4,11,-1008,14:38.2
2,0,-7,255,178,85,-4,10,-1008,14:38.2
2,-1,-7,265,192,91,-4,10,-1008,14:38.2
2,-1,-7,261,187,90,-4,11,-1008,14:38.3
2,-1,-7,258,183,105,-4,10,-1008,14:38.3
2,0,-7,259,184,90,-4,11,-1008,14:38.3
2,0,-7,256,184,78,-4,11,-1008,14:38.3
2,0,-7,261,186,93,-4,11,-1008,14:38.3
2,-2,-7,255,187,79,-4,10,-1008,14:38.4
2,-1,-7,268,184,82,-4,10,-1008,14:38.4
2,0,-7,264,184,93,-4,10,-1008,14:38.4
2,0,-7,253,183,103,-4,10,-1008,14:38.4
2,0,-7,258,183,81,-4,10,-1008,14:38.4
2,0,-7,258,183,81,-4,11,-1008,14:38.5
2,-2,-7,246,181,90,-4,11,-1008,14:38.5
2,-2,-7,246,181,90,-5,10,-1008,14:38.5
2,0,-7,252,186,78,-4,10,-1008,14:38.5
2,0,-7,258,190,90,-4,10,-1008,14:38.5
2,-1,-7,259,184,97,-4,11,-1008,14:38.6
2,-2,-7,256,183,94,-4,11,-1008,14:38.6
2,0,-7,264,187,88,-4,10,-1009,14:38.6
2,0,-7,249,187,94,-4,10,-1008,14:38.6
2,0,-7,265,186,82,-4,10,-1008,14:38.6
2,-1,-7,261,177,88,-4,10,-1008,14:38.7
2,-1,-7,259,187,82,-4,10,-1008,14:38.7
2,0,-7,253,187,93,-4,10,-1008,14:38.7
2,0,-7,256,193,87,-4,10,-1008,14:38.7
2,0,-7,265,184,90,-4,11,-1008,14:38.7
2,-1,-7,252,184,100,-4,11,-1008,14:38.8
2,0,-7,252,184,100,-4,10,-1008,14:38.8
2,-1,-7,256,192,90,-4,10,-1008,14:38.8
2,-1,-7,255,183,85,-4,10,-1008,14:38.8
2,0,-7,256,187,88,-4,10,-1008,14:38.8
2,0,-7,261,174,84,-4,11,-1008,14:38.9
2,0,-7,270,183,87,-4,11,-1008,14:38.9
2,0,-7,267,183,91,-4,10,-1009,14:38.9
2,0,-7,249,175,99,-4,11,-1008,14:38.9
2,0,-7,267,183,85,-3,11,-1008,14:38.9
2,0,-7,264,180,79,-4,10,-1009,14:39.0
2,0,-7,253,187,88,-4,10,-1008,14:39.0
2,-1,-7,265,183,90,-4,9,-1008,14:39.0
2,-1,-7,267,184,87,-4,9,-1008,14:39.0
2,0,-7,258,180,81,-4,9,-1008,14:39.0
2,0,-7,258,180,81,-4,10,-1008,14:39.1
2,0,-7,256,186,79,-3,10,-1008,14:39.1
2,-1,-7,252,192,87,-4,10,-1008,14:39.1
2,-1,-7,262,192,91,-4,10,-1009,14:39.1
2,0,-7,264,183,90,-4,10,-1009,14:39.1
2,0,-7,265,178,84,-4,10,-1008,14:39.2
2,0,-7,262,183,88,-4,10,-1008,14:39.2
2,0,-7,250,180,87,-4,10,-1009,14:39.2
2,-1,-7,262,178,87,-4,10,-1008,14:39.2
2,-1,-7,259,183,82,-4,10,-1008,14:39.2
2,-2,-7,252,184,84,-4,10,-1008,14:39.3
2,-1,-7,252,184,84,-4,10,-1008,14:39.3
2,-1,-7,253,183,88,-4,10,-1008,14:39.3
2,0,-7,268,187,78,-4,11,-1008,14:39.3
2,0,-7,259,181,91,-5,11,-1008,14:39.3
2,-1,-7,261,186,78,-4,10,-1008,14:39.4
2,-1,-7,255,184,88,-4,10,-1008,14:39.4
3,-1,-7,261,186,91,-4,10,-1008,14:39.4
2,-1,-7,256,180,90,-3,11,-1008,14:39.4
2,-1,-7,261,181,82,-4,10,-1009,14:39.4
2,-1,-7,262,189,85,-4,10,-1008,14:39.5
2,-2,-7,262,186,87,-4,10,-1008,14:39.5
2,-1,-7,261,190,81,-4,10,-1009,14:39.5
2,-1,-7,259,181,93,-4,10,-1008,14:39.5
2,-1,-7,267,183,90,-4,10,-1008,14:39.5
2,-1,-7,265,187,91,-4,11,-1008,14:39.6
2,0,-7,262,171,76,-3,11,-1008,14:39.6
2,1,-7,256,181,85,-4,10,-1008,14:39.6
2,-1,-7,258,183,90,-4,10,-1008,14:39.6
2,-1,-7,258,186,84,-4,10,-1008,14:39.6
2,0,-7,261,190,94,-4,11,-1008,14:39.6
2,0,-7,264,187,84,-4,11,-1008,14:39.7
2,-1,-7,253,187,94,-4,10,-1009,14:39.7
2,-1,-7,253,187,94,-4,10,-1009,14:39.7
2,-1,-7,256,190,84,-4,10,-1008,14:39.7
2,-1,-7,261,184,85,-4,10,-1008,14:39.7
2,0,-7,259,186,85,-4,10,-1008,14:39.8
2,-2,-7,265,184,82,-4,11,-1008,14:39.8
2,-2,-7,259,187,84,-4,10,-1008,14:39.8
2,-1,-7,262,192,75,-4,10,-1008,14:39.8
2,0,-7,261,186,84,-4,11,-1008,14:39.8
2,0,-7,261,186,84,-5,11,-1009,14:39.9
2,-1,-7,252,184,91,-4,11,-1008,14:39.9
2,-1,-7,258,186,88,-4,11,-1008,14:39.9
2,0,-7,253,186,84,-4,10,-1009,14:39.9
2,0,-7,262,190,82,-4,10,-1008,14:39.9
2,0,-7,256,177,85,-4,10,-1008,14:40.0
2,0,-7,258,187,81,-4,10,-1008,14:40.0
2,0,-7,265,192,93,-4,10,-1008,14:40.0
2,0,-7,265,192,93,-4,11,-1008,14:40.0
2,-1,-7,255,186,87,-4,10,-1008,14:40.0
2,0,-7,262,183,91,-4,10,-1008,14:40.1
2,-1,-7,262,183,91,-4,10,-1008,14:40.1
2,0,-7,250,187,88,-4,10,-1009,14:40.1
2,0,-7,261,187,97,-4,10,-1009,14:40.1
2,0,-7,256,183,94,-4,11,-1008,14:40.1
2,0,-7,255,181,85,-4,10,-1008,14:40.2
2,0,-7,270,184,84,-4,11,-1008,14:40.2
2,0,-7,265,184,93,-3,10,-1008,14:40.2
2,0,-7,261,192,97,-3,10,-1008,14:40.2
2,0,-7,261,184,87,-3,10,-1008,14:40.2
2,-2,-7,252,180,85,-3,10,-1008,14:40.3
2,-2,-7,261,183,79,-4,10,-1008,14:40.3
2,-1,-7,258,190,82,-4,11,-1008,14:40.3
2,-1,-7,258,190,82,-4,11,-1008,14:40.3
2,-1,-7,264,186,91,-4,10,-1008,14:40.3
2,0,-7,255,184,94,-4,10,-1008,14:40.4
2,0,-7,258,186,90,-3,10,-1008,14:40.4
2,-1,-7,256,183,102,-4,10,-1008,14:40.4
2,0,-7,256,183,102,-4,10,-1008,14:40.4
2,0,-7,255,186,81,-4,10,-1009,14:40.4
3,0,-7,265,177,93,-4,10,-1009,14:40.5
2,-2,-7,258,184,93,-4,10,-1008,14:40.5
2,-1,-7,259,180,88,-4,10,-1008,14:40.5
2,-1,-7,261,177,85,-4,10,-1008,14:40.5
2,-2,-7,253,172,97,-4,10,-1009,14:40.5
2,0,-7,262,184,94,-4,10,-1009,14:40.6
1,-2,-7,256,183,90,-4,10,-1009,14:40.6
-8,-15,-7,258,184,85,-3,11,-1005,14:40.6
-7,-14,-7,253,187,90,-4,10,-1006,14:40.6
-7,-13,-7,261,189,97,-5,9,-1009,14:40.6
-7,-9,-7,261,189,97,-5,9,-1008,14:40.7
-2,-5,-7,258,181,96,-5,9,-1009,14:40.7
2,-3,-7,259,190,100,-5,8,-1009,14:40.7
-2,-7,-7,261,184,97,-6,8,-1007,14:40.7
-3,-8,-7,265,177,85,-7,8,-1008,14:40.7
2,-2,-7,250,190,87,-7,8,-1010,14:40.8
9,9,-7,270,180,93,-7,8,-1010,14:40.8
6,9,-7,261,181,76,-6,9,-1010,14:40.8
0,5,-7,258,186,84,-5,9,-1007,14:40.8
-1,4,-7,264,187,88,-5,9,-1007,14:40.8
-1,1,-7,265,187,87,-5,9,-1008,14:40.9
-4,-2,-7,249,186,81,-5,9,-1007,14:40.9
-4,1,-7,259,174,84,-5,8,-1007,14:40.9
0,7,-7,256,178,93,-5,8,-1009,14:40.9
-2,1,-7,259,174,94,-5,7,-1009,14:40.9
-9,-11,-7,252,186,91,-4,7,-1007,14:41.0
-12,-15,-6,262,180,84,-4,7,-1006,14:41.0
-8,-7,-7,262,180,84,-5,6,-1008,14:41.0
-1,2,-7,258,181,90,-6,6,-1010,14:41.0
1,4,-7,265,183,96,-6,6,-1009,14:41.0
0,2,-7,259,177,96,-5,6,-1008,14:41.1
-4,-2,-7,264,178,91,-5,6,-1007,14:41.1
-4,-4,-7,262,186,93,-6,5,-1008,14:41.1
-2,-5,-7,261,184,82,-6,5,-1008,14:41.1
0,-3,-7,256,186,84,-6,5,-1009,14:41.1
2,0,-7,270,177,88,-6,5,-1009,14:41.1
4,3,-7,258,178,87,-6,5,-1009,14:41.2
3,2,-7,264,175,88,-6,5,-1009,14:41.2
3,-2,-7,259,177,87,-5,5,-1008,14:41.2
3,-4,-7,264,177,94,-5,5,-1008,14:41.2
4,-2,-7,256,181,85,-5,5,-1009,14:41.2
5,-2,-7,264,178,81,-5,5,-1009,14:41.3
8,0,-7,267,178,94,-6,5,-1008,14:41.3
13,3,-7,267,178,94,-6,5,-1009,14:41.3
17,0,-7,261,177,91,-6,6,-1010,14:41.3
16,4,-51,261,183,88,-6,6,-1009,14:41.3
4,5,-452,270,175,85,0,-62,-1007,14:41.4
20,17,-428,264,181,94,28,-89,-1009,14:41.4
24,15,-274,261,180,79,10,-77,-1011,14:41.4
15,12,-140,258,181,87,4,-132,-1006,14:41.4
5,8,-51,255,174,87,-5,-131,-1005,14:41.4
1,-9,25,253,184,90,-5,-131,-1005,14:41.5
-17,1,28,256,172,78,-12,-141,-1006,14:41.5
-16,14,66,249,168,90,-5,-157,-1008,14:41.5
-14,1,158,249,177,84,-9,-162,-1009,14:41.5
-1,-9,221,253,174,96,-6,-163,-1010,14:41.5
-16,-6,230,255,171,85,9,-175,-1007,14:41.6
-16,-12,288,258,178,90,10,-172,-1005,14:41.6
-26,-10,315,258,178,90,-5,-163,-1011,14:41.6
-42,-39,305,258,183,91,-9,-164,-1008,14:41.6
-32,-32,143,258,183,87,-12,-128,-1007,14:41.6
-3,20,-95,259,181,88,-49,-104,-1012,14:41.7
3,-5,-111,261,178,96,-52,-106,-1010,14:41.7
2,22,-7,264,187,85,-20,-118,-1006,14:41.7
21,37,35,252,183,85,-13,-111,-1007,14:41.7
24,15,131,261,178,91,-16,-96,-1006,14:41.7
-9,14,284,253,181,91,-8,-91,-1001,14:41.8
-43,42,371,253,184,90,53,-118,-1011,14:41.8
-46,0,469,255,180,96,53,-118,-1011,14:41.8
-14,28,488,255,195,103,53,-80,-1014,14:41.8
16,44,466,261,190,93,38,-22,-1011,14:41.8
54,-11,459,253,192,97,4,28,-1007,14:41.9
46,7,396,253,192,97,-33,80,-1005,14:41.9
10,35,312,262,198,94,-39,125,-1004,14:41.9
-30,56,296,267,201,103,-38,157,-1008,14:41.9
-105,70,252,259,208,102,-53,186,-1010,14:41.9
-413,-97,217,270,193,106,-88,290,-1052,14:42.0
-94,-38,107,267,198,114,-68,233,-1010,14:42.0
-77,25,-52,270,214,118,-61,178,-976,14:42.0
-76,0,-35,274,195,117,-94,259,-1021,14:42.0
-36,30,-165,267,190,127,-78,252,-1019,14:42.0
43,26,-261,259,166,115,-54,255,-1021,14:42.1
120,-2,-242,265,168,111,-14,247,-1015,14:42.1
254,-30,-214,241,159,126,13,245,-1023,14:42.1
-29,4,-225,241,154,106,-9,164,-968,14:42.1
-359,63,-397,241,154,106,0,98,-1002,14:42.1
-98,19,-450,234,150,133,0,98,-1002,14:42.2
-53,9,-392,234,150,133,26,65,-1030,14:42.2
-14,8,-438,252,157,112,28,24,-1009,14:42.2
-5,-3,-438,249,150,123,12,-7,-1010,14:42.2
11,-12,-394,249,150,123,5,-41,-1007,14:42.2
21,-14,-254,247,150,115,16,-82,-1006,14:42.3
23,-16,-58,244,154,117,27,-126,-1009,14:42.3
25,-1,43,253,148,111,14,-110,-1010,14:42.3
17,18,11,249,157,111,-11,-71,-1009,14:42.3
8,15,-47,246,147,130,-23,-44,-1006,14:42.3
10,2,-35,244,148,112,-14,-29,-1005,14:42.4
16,0,0,262,153,112,0,-39,-1007,14:42.4
21,-4,15,240,156,123,4,-43,-1009,14:42.4
14,-17,-7,246,154,121,2,-31,-1007,14:42.4
7,-24,-59,246,154,121,4,-26,-1005,14:42.4
11,-12,-106,241,151,103,-3,-5,-1008,14:42.5
8,-11,-74,250,157,124,10,-43,-1009,14:42.5
17,-1,-35,258,157,109,-3,-28,-1011,14:42.5
31,7,-172,252,148,118,-3,-28,-1011,14:42.5
32,-2,-283,256,157,114,-13,2,-1010,14:42.5
12,-9,-355,247,157,117,-17,7,-1008,14:42.6
-20,-14,-235,246,153,117,-7,-26,-1005,14:42.6
1,-76,-35,246,145,124,29,-82,-1005,14:42.6
7,-18,-8,262,153,114,22,-72,-1008,14:42.6
7,-10,-7,250,153,115,-2,-29,-1009,14:42.6
3,5,-7,249,145,114,-4,-24,-1005,14:42.6
5,-3,-7,246,139,106,-5,-24,-1006,14:42.7
4,-2,-7,247,145,105,-4,-26,-1009,14:42.7
4,-2,-7,247,150,105,-5,-25,-1007,14:42.7
4,-2,-7,244,144,102,-5,-25,-1007,14:42.7
4,-1,-7,244,144,102,-5,-25,-1008,14:42.7
4,0,-7,247,144,112,-4,-24,-1008,14:42.8
4,0,-7,252,139,115,-4,-24,-1007,14:42.8
4,-1,-7,249,153,114,-4,-24,-1007,14:42.8
4,-1,-7,252,148,114,-4,-24,-1008,14:42.8
4,-1,-7,246,141,114,-4,-24,-1008,14:42.8
3,-1,-7,255,142,118,-5,-24,-1008,14:42.9
3,-1,-7,252,154,112,-5,-24,-1008,14:42.9
3,-2,-7,249,148,115,-5,-24,-1007,14:42.9
3,-1,-7,244,156,114,-4,-23,-1007,14:42.9
3,-1,-7,258,144,115,-5,-24,-1008,14:43.0
2,-1,-7,252,139,112,-5,-24,-1007,14:43.0
3,-2,-7,247,144,111,-4,-24,-1008,14:43.0
3,0,-7,252,150,106,-4,-23,-1008,14:43.0
3,-2,-7,252,150,106,-5,-23,-1008,14:43.0
2,0,-7,253,148,111,-4,-24,-1008,14:43.0
3,0,-7,250,141,111,-5,-24,-1007,14:43.1
2,0,-7,252,145,117,-5,-24,-1008,14:43.1
2,0,-7,253,147,114,-4,-24,-1008,14:43.1
2,-1,-7,249,154,115,-4,-24,-1008,14:43.1
3,-1,-7,256,147,109,-5,-25,-1008,14:43.1
2,-1,-7,246,139,105,-4,-23,-1007,14:43.2
2,-1,-7,250,145,114,-5,-24,-1008,14:43.2
2,-1,-7,249,159,112,-5,-24,-1008,14:43.2
2,-1,-7,252,150,109,-4,-24,-1008,14:43.2
2,-2,-7,241,156,109,-4,-24,-1008,14:43.2
2,-1,-7,255,141,112,-4,-23,-1008,14:43.3
2,0,-7,253,148,108,-4,-24,-1008,14:43.3
