,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
71,31.0,58.5,-54.8,-0.453,-0.192,-0.195,-0.064,0.406,-1.002
72,12.1,38.3,-129.6,-0.324,-0.103,-0.068,-0.069,0.43,-0.976
73,-12.9,59.1,-132.1,-0.871,-0.356,-0.172,-0.027,0.45,-0.957
74,18.7,-20.9,-62.5,-0.627,-0.307,-0.376,0.019,0.454,-0.954
75,27.0,21.3,-84.9,-0.734,-0.428,-0.13,0.042,0.453,-0.957
76,41.1,-78.7,35.6,-0.236,-0.293,0.006,0.067,0.445,-0.97
77,39.3,-69.9,79.0,-0.46,-0.252,-0.159,0.07,0.421,-0.996
78,51.6,-107.0,127.3,-0.279,-0.116,-0.09,0.037,0.408,-1.033
79,39.6,-65.1,157.6,-0.101,-0.049,0.081,-0.009,0.379,-1.042
80,18.0,-87.9,177.3,0.18,0.112,0.144,-0.073,0.34,-1.062
81,10.7,-83.5,148.2,0.157,0.1,-0.09,-0.114,0.286,-1.092
82,31.9,-52.5,144.8,0.065,0.114,-0.012,-0.171,0.261,-1.098
83,13.0,-65.2,151.1,0.25,0.185,0.08,-0.202,0.208,-1.11
84,-21.1,59.6,47.8,0.051,0.279,-0.116,-0.229,0.184,-1.116
85,-100.1,171.6,-70.6,-0.272,-0.021,0.141,-0.252,0.228,-1.101
86,-126.7,263.6,-179.9,-0.501,-0.166,-0.281,-0.211,0.316,-1.06
87,-7.0,138.7,-119.0,-1.201,-0.729,-0.131,-0.15,0.384,-1.009
88,-56.9,101.7,-77.4,-1.179,-0.511,-0.488,-0.072,0.421,-0.967
89,19.3,-61.1,-21.2,-1.16,-0.491,-0.595,-0.024,0.43,-0.973
90,47.7,-99.8,6.7,-0.558,-0.398,-0.326,0.013,0.421,-0.994
91,99.5,-164.9,24.7,-0.41,-0.338,-0.181,0.001,0.379,-1.05
92,95.7,-87.8,90.8,-0.107,-0.103,-0.07,-0.024,0.355,-1.065
93,67.9,-126.8,99.0,-0.15,-0.118,0.049,-0.075,0.301,-1.093
94,50.5,-81.0,133.3,0.18,0.0,-0.056,-0.129,0.253,-1.102
95,12.7,-122.0,143.2,0.406,0.063,-0.084,-0.156,0.216,-1.107
96,32.6,-32.4,36.3,0.556,0.201,0.002,-0.189,0.168,-1.122
97,63.7,34.7,-35.9,0.221,0.108,0.019,-0.205,0.169,-1.114
98,0.4,83.9,-79.5,0.052,0.062,0.101,-0.237,0.204,-1.098
99,-79.9,100.2,-170.1,-0.034,-0.036,0.002,-0.249,0.259,-1.093
100,-68.1,86.1,-221.5,-0.495,-0.331,0.031,-0.211,0.321,-1.077
101,62.3,102.0,-78.5,-0.92,-0.438,0.184,-0.135,0.372,-1.059
102,-28.7,-52.5,-21.3,-0.822,-0.38,-0.007,-0.07,0.366,-1.065
103,-19.1,23.5,30.0,-0.864,-0.463,-0.006,-0.039,0.372,-1.06
104,93.5,-108.8,126.2,-0.525,-0.328,-0.003,-0.033,0.36,-1.072
105,70.9,-114.8,183.3,-0.144,-0.197,-0.063,-0.052,0.313,-1.09
106,58.2,-102.9,179.2,0.423,0.135,-0.192,-0.114,0.265,-1.11
107,27.0,-39.4,72.7,0.582,0.277,-0.098,-0.177,0.21,-1.114
108,3.9,10.0,-28.4,0.299,0.178,-0.064,-0.214,0.222,-1.11
109,-53.3,90.5,-94.4,-0.085,-0.003,0.013,-0.219,0.249,-1.113
110,31.7,60.6,-55.7,-0.808,-0.322,0.278,-0.201,0.289,-1.093
111,0.0,-22.8,19.1,-0.343,-0.095,-0.021,-0.184,0.291,-1.086
112,-7.6,-3.1,22.1,-0.253,-0.032,-0.009,-0.171,0.279,-1.104
113,-5.8,-1.6,9.7,-0.198,-0.016,-0.051,-0.187,0.285,-1.105
114,-13.9,-37.1,-7.6,-0.185,0.0,0.064,-0.178,0.264,-1.104
115,-47.8,-23.6,-20.4,-0.317,-0.134,0.338,-0.178,0.259,-1.123
116,-84.5,-3.2,-3.9,-0.422,-0.262,0.438,-0.162,0.262,-1.117
117,-35.9,-47.1,16.2,-0.3,-0.33,0.139,-0.126,0.255,-1.134
118,30.2,-86.0,37.8,0.054,-0.095,-0.196,-0.099,0.235,-1.137
119,-29.2,-35.7,23.1,0.011,-0.167,-0.151,-0.109,0.211,-1.137
120,3.2,-51.5,17.6,0.041,-0.17,-0.324,-0.099,0.189,-1.153
121,22.4,-23.6,27.8,0.076,-0.048,-0.452,-0.102,0.174,-1.146
122,52.0,-29.2,-2.0,-0.011,0.014,-0.483,-0.109,0.165,-1.144
123,37.0,-32.9,-2.7,0.114,0.027,-0.374,-0.123,0.15,-1.144
124,-36.6,19.0,-15.6,0.014,-0.171,-0.066,-0.141,0.154,-1.161
125,-8.6,-48.7,-53.3,0.164,-0.13,-0.056,-0.15,0.151,-1.17
126,122.1,64.2,-44.5,-0.189,-0.053,0.994,-0.136,0.16,-1.159
127,13.4,13.0,-8.8,-0.091,0.086,0.643,-0.201,0.166,-1.141
128,-46.4,-0.3,-3.7,-0.149,0.007,0.621,-0.222,0.169,-1.146
129,-54.3,-1.6,36.5,0.127,-0.06,0.167,-0.201,0.181,-1.15
130,0.9,19.5,30.7,0.087,-0.083,0.097,-0.166,0.175,-1.132
131,-58.0,9.8,30.9,0.008,-0.022,-0.269,-0.171,0.165,-1.143
132,-57.7,31.0,24.5,0.03,-0.042,-0.267,-0.169,0.177,-1.141
133,-36.4,4.5,17.1,-0.028,-0.073,-0.285,-0.136,0.184,-1.14
134,-6.9,-15.7,12.1,-0.085,-0.083,-0.318,-0.135,0.186,-1.149
135,23.2,-22.4,0.9,0.011,0.046,-0.494,-0.112,0.175,-1.15
136,-0.4,-27.3,-3.7,-0.003,-0.096,-0.25,-0.127,0.175,-1.159
137,-23.0,-48.9,-22.9,0.175,-0.19,0.013,-0.132,0.157,-1.168
138,18.9,-60.1,-28.9,0.096,-0.194,0.201,-0.129,0.141,-1.171
139,145.1,-28.0,-8.8,0.086,-0.092,0.416,-0.129,0.132,-1.176
140,58.8,0.6,-13.5,0.032,-0.058,0.601,-0.157,0.127,-1.171
141,-17.9,-6.6,0.3,0.065,-0.033,0.572,-0.205,0.12,-1.164
142,-72.1,20.8,6.2,0.147,-0.078,0.301,-0.198,0.145,-1.161
143,-29.0,35.7,8.4,0.144,-0.127,0.182,-0.178,0.144,-1.164
144,6.5,24.4,9.8,0.075,-0.096,-0.07,-0.16,0.154,-1.147
145,-20.0,48.3,20.5,0.069,-0.106,-0.138,-0.154,0.168,-1.131
